Participant,SS_Motivation,SR_RT,SR_Dprime_Old,SR_Dprime_newb,SR_Dprime_difference,SR_Dprime_overall,Nback_V_Dprime,Nback_V_ReactionTime,Nback_S_Dprime,Nback_S_ReactionTime,Flanker_Incongruent_ACC,Flanker_Congruent_ACC,Flanker_Neutral_ACC,Flanker_Overall_ACC,Flanker_Incongruent_RT,Flanker_Congruent_RT,Flanker_Neutral_RT,Flanker_Overall_RT,TOL_OutExecutionTime,TOL_OutInitiationTime,TOL_OutMoveCount,TOL_OutMoveScore,TOL_OutTimeViolation,TOL_OutTotalCorrectScore,TOL_OutTotalExecutionTime,TOL_OutTotalInitiationTime,TOL_OutTotalMoveScore,TOL_OutTotalTimeAll,FixAVG,FixDurationAVG,SacDurationAVG,SacDurationTOTAL,SacDistanceAVG,LL1,LL2,HA,Group
1025,2.341666667,1722.5375,1.819933765,1.246861784,0.573071981,1.513473818,3.68168775865286,778.279069767442,2.80158521811297,636.604166666667,0.9,1,1,0.966666666666667,397.175,337.125,353.575,362.625,11464,22405,8,1,0,4,109400,172537,12,281937,12.22321,358.9176471,38.18596096,50863.7,78.67862982,-1313.43022102208,-1342.19174412187,0.0108304282301112,1
1026,2.508333333,1051.795833,2.018940717,0.894745514,1.124195203,1.424558768,2.41942751659443,806.085106382979,2.63445373473614,870,0.95,1,0.975,0.975,427,357.125,368.6,384.241666666667,14105,21545,7,0,1,7,139575,208768,8,348343,14.16071,333.6016422,29.00277078,46056.4,70.49164009,-1285.93479962167,-1310.26742347086,0.00937239157749857,1
1027,2.8,1444.8625,1.914482575,1.156513076,0.757969499,1.503588641,3.37651802307372,821.425531914894,3.24151555008465,1058.08333333333,0.95,0.975,1,0.975,401.4,358.175,347,368.858333333333,8152,4069,7,0,1,3,300044,64592,50,364636,14.75,317.8130017,30.26183724,49084.7,92.31967322,-1324.85648635161,-1343.34820726999,0.00693039816719625,1
1028,3.15,1292.729167,0.826314652,0.740861553,0.085453099,0.783395943,2.57328562969516,1063.53333333333,2.12317279911752,920.375,0.925,1,0.925,0.95,488.625,393.875,361.7,414.733333333333,19490,4506,9,2,2,0,388402,58414,73,446816,14.84821,275.8661435,37.62175649,56545.5,67.77270625,-1348.32667412865,-1325.78334962485,-0.00843021577405231,2
1029,2.075,2140.629167,1.662502582,0.593894464,1.068608118,1.102483296,3.31838569724599,1230.27659574468,3.24151555008465,1218.70833333333,0.975,1,1,0.991666666666667,412.7,348.575,348.55,369.941666666667,14352,18795,9,2,2,5,272287,143620,29,415907,15.1875,282.9110806,34.49026602,57046.9,106.066671,-1408.48515419548,-1399.261969732,-0.00328490567575426,2
1030,2.225,885.375,1.204538529,0.839957724,0.364580805,1.011409476,2.25606490883029,948.191489361702,2.08562533139513,826.208333333333,0.9,0.975,0.975,0.95,452.375,383.475,373,402.95,15725,4554,9,2,0,1,182977,49739,50,232716,13.80357,323.0261847,42.63749175,64595.8,110.0819367,-1357.81685287851,-1394.75919246851,0.0134210059890816,1
1031,3.983333333,905.4208333,0.556388646,0.045406833,0.510981813,0.305065952,2.25606490883029,752.630434782609,1.80595207825264,808.5625,0.875,1,0.95,0.941666666666667,398.35,358.3,365.4,374.016666666667,12559,3373,9,2,0,0,178856,46414,40,225270,10.9375,281.1163972,35.17004651,37807.8,48.28828559,-1308.61112946957,-1320.07309857549,0.00436034461029259,1
1032,2.233333333,1806.425,1.695334857,0.841760219,0.853574638,1.242399315,2.05748387729672,638.085106382979,3.28970725390294,757.916666666667,0.975,1,1,0.991666666666667,414.9,351.35,357.65,374.633333333333,6786,6773,7,0,0,5,128843,56696,27,185539,13.21429,343.4802764,38.25399583,55047.5,102.2341026,-1372.09885265613,-1353.70220698754,-0.00674907862534861,2
1033,1.875,928.0833333,2.581807424,1.181675481,1.400131943,1.604111571,2.79520300732748,612.104166666667,2.99639737403384,633.875,0.825,0.95,0.975,0.916666666666667,379.65,333.1,350,354.25,7328,8057,7,0,0,4,133951,121768,16,255719,11.40179,421.6621324,32.1599026,39621,91.41556245,-1338.6792300021,-1365.35346202849,0.00986461151338957,1
1034,2.633333333,942.9125,1.590347289,0.841760219,0.74858707,1.199255929,3.6916283806623,584.625,1.77051497380655,773.5,0.925,1,1,0.975,381.5,351.775,326.7,353.325,63368,9110,15,8,1,2,265032,77767,43,342799,14.41964,326.3385831,33.13076923,52545.4,92.65594258,-1356.74914054687,-1353.26853469656,-0.00128434802551294,2
1035,2.591666667,1376.5,0.480598176,0.263171714,0.217426462,0.373514432,3.31838569724599,639.6875,2.48436449724809,604.645833333333,0.825,1,0.9,0.908333333333333,365.575,349.025,340.9,351.833333333333,33472,11120,17,10,1,2,217480,89521,51,307001,11.00893,335.9207298,31.36630344,37420,64.54096994,-1315.88811031709,-1278.36607977881,-0.0144635135144146,2
1037,2.283333333,779.7041667,1.10895564,0.335177373,0.773778267,0.728566068,3.01321596166685,748.895833333333,2.12317279911752,644.645833333333,0.675,1,1,0.891666666666667,414.2,362.675,383.925,386.933333333333,13056,13345,9,2,0,2,182984,64387,48,247371,13.45536,301.5021848,35.9478716,51513.3,73.8440215,-1312.90861157466,-1355.78916648918,0.0160679696543336,1
1038,2.716666667,1292.408333,1.759840854,0.804713042,0.955127812,1.277229639,1.40369648351181,638.723404255319,1.42175385590136,632.916666666667,0.8,0.975,0.975,0.916666666666667,449.45,388.275,380.975,406.233333333333,19704,5513,7,0,1,8,198124,80098,5,278222,12.82143,353.9822193,31.60007231,43702.9,71.18814986,-1329.6424057174,-1314.03226843239,-0.00590471189123433,2
1039,3.266666667,1069.520833,1.686235167,0.699848641,0.986386526,1.146417671,3.01321596166685,689.1875,2.12317279911752,811.833333333333,0.925,1,0.975,0.966666666666667,429.725,350.925,339.9,373.516666666667,14647,27578,7,0,0,8,119654,149958,29,269612,14.08929,318.47283,30.03793814,43705.2,67.02040075,-1313.08372707275,-1274.37935663952,-0.0149584242097454,2
1040,3.358333333,797.1041667,1.814741895,0.919663561,0.895078334,1.297415473,2.1867827698698,707.511111111111,1.8780546230667,771.875,0.875,1,1,0.958333333333333,409.525,363.675,350.475,374.558333333333,8040,7471,7,0,1,3,248032,103123,36,351155,13.1875,366.3235891,28.27868966,41004.1,91.52931663,-1347.84768403774,-1361.08941277587,0.00488816397904136,1
1041,2.233333333,766.6916667,1.198890263,0.67448975,0.524400513,0.927836853,3.02784775405211,499.375,2.99639737403384,578.541666666667,0.825,1,0.975,0.933333333333333,408.125,346.475,349.3,367.966666666667,9167,10995,9,2,0,6,125780,84902,11,210682,12.58036,301.3028234,34.59283075,46804.1,67.40434413,-1301.73054197151,-1339.68472202576,0.014368880414818,1
1042,2.116666667,1063.529167,1.050007977,0.602701775,0.447306202,0.817735256,3.07326752119518,718.304347826087,2.5631031310892,627.041666666667,0.9,1,1,0.966666666666667,405.775,326.45,331.475,354.566666666667,6536,19500,7,0,0,10,61798,145279,0,207077,15.8125,292.7402329,30.3776204,53616.5,95.67037121,-1363.64610586703,-1392.20012155216,0.0103612514374102,1
1043,2.958333333,697.8041667,0.930802619,0.707109293,0.223693326,0.816679485,1.09308291295677,517.212765957447,1.66687203195217,598.729166666667,0.975,0.975,1,0.983333333333333,380.775,321,334.05,345.275,16096,2984,11,4,0,3,151392,44850,38,196242,13.25,332.9502528,35.11928058,48815.8,103.1275993,-1376.3087484359,-1332.78890364406,-0.0160643322541094,2
1044,3.491666667,1196.9375,1.186142326,0.544986632,0.641155694,0.860048482,3.6916283806623,711.875,2.99639737403384,734.791666666667,0.975,1,1,0.991666666666667,450.8,366.925,383.7,400.475,11247,15547,7,0,0,9,91048,94918,2,185966,14.72321,277.8224815,49.04187223,77535.2,87.69058575,-1398.6930051374,-1369.52783309291,-0.0105357100277948,2
1045,2.441666667,1449.795833,1.695334857,0.799527561,0.895807296,1.220768669,3.37651802307372,561.895833333333,2.31798495503839,1044.64583333333,0.875,1,1,0.958333333333333,417.45,331.2,347.95,365.533333333333,9320,20595,7,0,0,9,95824,143458,2,239282,17.80357,247.9730895,40.09647992,80874.6,76.4679379,-1340.86939090689,-1323.79573826354,-0.00640742900728628,2
1046,2.1,1067.308333,1.609400938,0.868539385,0.740861553,1.225551816,3.68168775865286,829.979166666667,2.68128701644526,1088.52083333333,0.025,1,1,0.675,8.225,371.475,378.475,252.725,10424,24266,7,0,2,5,260336,109062,24,369398,11.20536,436.703654,30.20034072,35455.2,46.66586538,-1276.26162920669,-1224.13097464128,-0.020848987669053,2
1047,2.925,937.425,1.31196752,0.151576401,1.160391119,0.594381949,2.41942751659443,640,2.31934337714755,752.916666666667,0.975,1,1,0.991666666666667,421.75,375.3,388.875,395.308333333333,6264,9923,7,0,0,9,73616,80721,2,154337,10.83929,419.1617874,25.36623635,25543.8,68.49768543,-1315.26339050129,-1287.94057335679,-0.0104958418640401,2
1048,2.9,2692.845833,1.246861784,0.559392961,0.687468823,0.910772043,1.80904279967462,775.422222222222,0.71595988671784,777,0.95,1,1,0.983333333333333,409.325,366.2,361.75,379.091666666667,8923,8146,7,0,0,4,172376,105916,21,278292,9.392857,211.7047575,40.91944778,34085.9,88.60807044,-1341.79518851889,-1295.15054805867,-0.0176888890101904,2
1049,3.308333333,1168.833333,2.428354002,1.036847479,1.391506523,1.538915402,2.29018123483719,801.234042553191,1.80595207825264,1026.77083333333,0.125,0.975,1,0.7,536.45,376.675,402.175,438.433333333333,16120,8045,9,2,1,6,190029,95111,18,285140,15.04464,301.5226891,33.1783867,53881.7,92.06667481,-1344.36452048655,-1385.66711396382,0.0151289798096378,1
1050,2.525,1421.820833,1.668372986,0.447604316,1.22076867,0.997689258,2.57328562969516,604.083333333333,2.99639737403384,641.354166666667,0.975,1,0.975,0.983333333333333,459.375,396.325,391.225,415.641666666667,16833,28091,7,0,2,9,132113,236624,8,368737,13.91071,297.5439737,35.99178451,53447.8,93.27618239,-1385.25359898901,-1376.14461018726,-0.00329868715474676,2
1051,2.675,1155.283333,2.352420008,0.458148016,1.894271992,1.464286177,3.68168775865286,769.270833333333,1.66687203195217,760.1875,0.85,0.925,0.925,0.9,370.825,326.975,331.675,343.158333333333,19209,12202,13,6,2,5,186472,132469,36,318941,16.66071,253.5295557,36.00899894,67624.9,101.3055308,-1388.17081315473,-1407.45509129685,0.00689801811873782,1
1052,2.916666667,885.0166667,0.88921711,0.506732985,0.382484125,0.695267238,2.57328562969516,668.782608695652,1.8780546230667,711.354166666667,0.925,0.975,0.925,0.941666666666667,342.85,344.875,344.675,344.133333333333,28156,23319,8,1,0,6,154180,129292,10,283472,16.28571,252.9632716,46.38187839,77040.3,70.6954649,-1321.45115172941,-1366.29958299649,0.0166862316090691,1
1053,2.366666667,1000.145833,2.547588419,1.259533161,1.288055258,1.855282021,2.57328562969516,964.021276595745,1.42175385590136,1295.8125,0.95,1,1,0.983333333333333,404.3,344.3,359.55,369.383333333333,21071,3694,10,3,1,3,292537,70993,60,363530,13.61607,345.5435077,32.59603495,48502.9,117.7691594,-1372.76674821731,-1389.58519254189,0.00608845095963838,1
1054,2.758333333,1188.558333,1.71092314,0.842383755,0.868539385,1.223012033,3.01321596166685,729.583333333333,2.07286677898758,1132.5,0.95,0.975,1,0.975,403.3,375.025,372.275,383.533333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.02679,269.2583809,36.84561016,66727.4,95.06722954,-1335.99790258742,-1379.6833211142,0.0160863573181957,1
1055,3.408333333,1006.445833,1.152560914,0.436281866,0.716279048,0.814033778,2.76809778561603,553.958333333333,3.28970725390294,587.916666666667,0.9,1,0.95,0.95,416.25,353.35,351.725,373.775,7768,14071,7,0,1,9,148294,172026,9,320320,15.19643,283.9044604,38.74830097,63857.2,65.29635248,-1376.93372882856,-1312.31997469765,-0.0240266487487531,2
1056,3.183333333,1616.641667,1.584955672,0.801869386,0.783086286,1.146282409,2.8784553652743,922.022222222222,2.5631031310892,832,0.95,1,0.95,0.966666666666667,442.1,355.7,374.925,390.908333333333,20131,2560,9,2,3,2,334071,150924,33,484995,10.72321,276.5951496,40.49238532,44136.7,82.99398514,-1319.13745571319,-1293.4124896466,-0.00984668871585666,2
1057,3.083333333,1229.8,0.70095142,0.315630953,0.385320467,0.511832993,3.31838569724599,602.765957446809,2.12317279911752,1127.5,1,1,1,1,433.225,405.375,392.65,410.416666666667,7424,11609,7,0,0,7,85613,107351,8,192964,10.11607,431.4710635,34.75996293,37506,73.64742264,-1284.38495771266,-1273.56971361513,-0.00422808277986895,2
1058,1.758333333,904.5875,1.273918968,0.659162122,0.614756846,0.954298523,3.07326752119518,654.166666666667,2.31798495503839,684.5,0.8,1,0.9,0.9,364.95,345.5,339.875,350.108333333333,52616,3875,11,4,0,6,139880,134637,14,274517,16.02679,246.7328482,41.14985963,73287.9,104.1234927,-1422.09435199257,-1476.28634543837,0.0186973345129683,1
1059,2.5,978.3375,1.516110984,0.842383755,0.673727229,1.151530179,3.31838569724599,570.833333333333,3.91992796908011,601.041666666667,0.975,1,0.975,0.983333333333333,479.775,398.925,433.025,437.241666666667,7623,5856,7,0,0,8,107573,81000,13,188573,10.41071,358.4719641,30.19522059,32852.4,94.14660957,-1357.62843319825,-1343.96217002039,-0.00505859887193105,2
1060,2.516666667,983.5916667,1.381260501,0.597760126,0.783500375,0.960677421,3.6916283806623,430.208333333333,2.12317279911752,533.541666666667,0.95,1,0.975,0.975,419.7,355.35,356.1,377.05,6664,10389,7,0,1,6,141751,195036,29,336787,11.27679,318.5376113,38.65506173,46965.9,102.0193223,-1331.36434092437,-1353.27310937175,0.00816079223097916,1
1061,2.266666667,908.875,0.532065422,0.146744955,0.385320467,0.335863382,2.41942751659443,769.152173913043,1.8780546230667,694.9375,0.9,1,1,0.966666666666667,421.975,364.125,375.775,387.291666666667,18929,101071,20,13,2,5,142095,231602,26,373697,12.71429,326.5700066,38.71142644,51834.6,96.38720062,-1356.21696188836,-1386.70470928422,0.0111150630790085,1
1062,2.083333333,1024.05,-1.31747751853647,-0.289081380037531,-1.02839613849894,-0.851121344593599,2.57328562969516,607.708333333333,1.68324246714583,626.666666666667,0.95,1,0.975,0.975,407.625,355.7,336.1,366.475,17088,20204,7,0,0,8,113807,160009,3,273816,13.35714,363.3181761,26.82962712,39573.7,69.13469176,-1325.26210246226,-1299.15776997938,-0.00994670584420937,2
1063,2.566666667,1386.01659751037,-1.06898231882033,-0.208036824992922,-0.86094549382741,-0.695148694039017,3.31838569724599,691.558139534884,1.5348986686804,684.25,1,1,0.975,0.991666666666667,430.25,382.625,391.5,401.458333333333,16057,4471,9,2,0,3,168191,51260,44,219451,11.77679,399.5202279,37.00094192,47139.2,62.96285137,-1368.07505053467,-1322.05093244084,-0.0171085363232427,2
